"No.","Time","Source","Destination","Protocol","Length","Info"
"11344","31.974347","2404:6800:4002:802::2008","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","1292","Protected Payload (KP0)"
"11345","31.974347","2404:6800:4002:802::2008","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","1292","Protected Payload (KP0)"
"11346","31.974494","2404:6800:4002:802::2008","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","1292","Protected Payload (KP0)"
"11347","31.974532","2405:201:7003:c0d5:2547:811:8a15:a967","2404:6800:4002:802::2008","QUIC","94","Protected Payload (KP0), DCID=e8decef4e2342d03"
"11348","31.974709","2404:6800:4002:802::2008","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","1292","Protected Payload (KP0)"
"11349","31.974709","2404:6800:4002:802::2008","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","1292","Protected Payload (KP0)"
"11350","31.974840","2404:6800:4002:802::2008","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","1292","Protected Payload (KP0)"
"11351","31.975974","2404:6800:4002:802::2008","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","1292","Protected Payload (KP0)"
"11352","31.975974","2404:6800:4002:802::2008","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","818","Protected Payload (KP0)"
"11353","31.976324","2405:201:7003:c0d5:2547:811:8a15:a967","2404:6800:4002:802::2008","QUIC","94","Protected Payload (KP0), DCID=e8decef4e2342d03"
"11354","31.976550","2405:201:7003:c0d5:2547:811:8a15:a967","2404:6800:4002:802::2008","QUIC","94","Protected Payload (KP0), DCID=e8decef4e2342d03"
"11355","31.976736","2405:201:7003:c0d5:2547:811:8a15:a967","2404:6800:4002:802::2008","QUIC","99","Protected Payload (KP0), DCID=e8decef4e2342d03"
"11356","31.980009","2404:6800:4002:802::2008","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","1285","Protected Payload (KP0)"
"11357","31.980009","2404:6800:4002:802::2008","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","1292","Protected Payload (KP0)"
"11358","31.980009","2404:6800:4002:802::2008","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","1292","Protected Payload (KP0)"
"11359","31.981046","2405:201:7003:c0d5:2547:811:8a15:a967","2404:6800:4002:802::2008","QUIC","94","Protected Payload (KP0), DCID=e8decef4e2342d03"
"11360","31.981255","2404:6800:4002:802::2008","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","1292","Protected Payload (KP0)"
"11361","31.981255","2404:6800:4002:802::2008","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","1292","Protected Payload (KP0)"
"11362","31.981610","2404:6800:4002:802::2008","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","1292","Protected Payload (KP0)"
"11363","31.981610","2404:6800:4002:802::2008","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","1292","Protected Payload (KP0)"
"11364","31.981610","2404:6800:4002:802::2008","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","1292","Protected Payload (KP0)"
"11365","31.981688","2405:201:7003:c0d5:2547:811:8a15:a967","2404:6800:4002:802::2008","QUIC","94","Protected Payload (KP0), DCID=e8decef4e2342d03"
"11366","31.981912","2405:201:7003:c0d5:2547:811:8a15:a967","2404:6800:4002:802::2008","QUIC","94","Protected Payload (KP0), DCID=e8decef4e2342d03"
"11367","31.982093","2405:201:7003:c0d5:2547:811:8a15:a967","2404:6800:4002:802::2008","QUIC","94","Protected Payload (KP0), DCID=e8decef4e2342d03"
"11368","31.982586","2404:6800:4002:802::2008","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","1292","Protected Payload (KP0)"
"11369","31.982586","2404:6800:4002:802::2008","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","1292","Protected Payload (KP0)"
"11370","31.982960","2404:6800:4002:802::2008","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","1292","Protected Payload (KP0)"
"11371","31.982960","2404:6800:4002:802::2008","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","1292","Protected Payload (KP0)"
"11372","31.982960","2404:6800:4002:802::2008","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","1292","Protected Payload (KP0)"
"11373","31.983262","2405:201:7003:c0d5:2547:811:8a15:a967","2404:6800:4002:802::2008","QUIC","94","Protected Payload (KP0), DCID=e8decef4e2342d03"
"11374","31.984194","2404:6800:4002:802::2008","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","818","Protected Payload (KP0)"
"11375","31.987724","2404:6800:4002:802::2008","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","1285","Protected Payload (KP0)"
"11376","31.987724","2404:6800:4002:802::2008","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","1292","Protected Payload (KP0)"
"11377","31.987830","2404:6800:4002:802::2008","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","1292","Protected Payload (KP0)"
"11378","31.988158","2405:201:7003:c0d5:2547:811:8a15:a967","2404:6800:4002:802::2008","QUIC","94","Protected Payload (KP0), DCID=e8decef4e2342d03"
"11379","31.988545","2404:6800:4002:802::2008","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","1292","Protected Payload (KP0)"
"11380","31.988545","2404:6800:4002:802::2008","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","1292","Protected Payload (KP0)"
"11381","31.988621","2404:6800:4002:802::2008","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","1292","Protected Payload (KP0)"
"11382","31.988982","2404:6800:4002:802::2008","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","1292","Protected Payload (KP0)"
"11383","31.988982","2404:6800:4002:802::2008","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","1292","Protected Payload (KP0)"
"11384","31.989098","2404:6800:4002:802::2008","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","1292","Protected Payload (KP0)"
